name,slug,mainCategory,city,address,lat,lng,phone,website,locationUrl,rating,numReviews,priceLevel,coverImageUrl,galleryUrls,source,sourcePlaceId,sourceTypes
Le Jasmine,le-jasmine-casablanca-956615eae0,RESTAURANT,Casablanca,"9 Rue Dr Veyre, Casablanca 20250, Morocco",33.5927671,-7.6233376,+212 5 22 46 78 00,http://www.hotelledoge.com/,https://maps.google.com/?cid=7303957343237546279,4.8,109,,,[],google_places,ChIJd6y9ZpDSpw0RJ6FHcoHeXGU,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Pepe Luis,pepe-luis-casablanca-80d5352b4e,RESTAURANT,Casablanca,"H9Q6+F2Q, Casablanca 20250, Morocco",33.5887125,-7.639890599999999,+212 6 19 53 69 33,https://www.instagram.com/pepeluiscasablanca/?hl=fr,https://maps.google.com/?cid=12381965727483813489,4.4,3706,3.0,,[],google_places,ChIJ5aDja2rTpw0Rcd67BzqU1as,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Little Mamma,little-mamma-casablanca-8267c011a1,RESTAURANT,Casablanca,"Rue Salim Cherkaoui, Casablanca 20250, Morocco",33.5804705,-7.623333199999998,+212 5 20 54 44 81,,https://maps.google.com/?cid=6560011832276519773,4.6,1900,,,[],google_places,ChIJxXSj5STTpw0RXYszSQHYCVs,"['establishment', 'food', 'point_of_interest', 'restaurant']"
La Brasserie Bavaroise,la-brasserie-bavaroise-casablanca-4a4d673c1d,RESTAURANT,Casablanca,"Rue Nichakra Rahal, Casablanca 20250, Morocco",33.5952979,-7.611727399999999,+212 5 22 31 17 60,,https://maps.google.com/?cid=10147157082956277953,4.4,783,3.0,,[],google_places,ChIJM3eLLZ3Spw0Rwaiy4Zrx0Yw,"['establishment', 'food', 'point_of_interest', 'restaurant']"
BRONZ - Casablanca,bronz-casablanca-casablanca-6e9ed259ff,RESTAURANT,Casablanca,"180 Bd Moulay Ismaïl, Casablanca 20250, Morocco",33.5981427,-7.5787703,+212 6 01 01 52 52,https://qr.mydigimenu.com/be34a8da-771e-4cc1-a1f4-0a1afd685a45/menu-page?menuID=56701,https://maps.google.com/?cid=16642886572882697288,4.5,1017,,,[],google_places,ChIJE8ebnpzNpw0RSJzKBSlp9-Y,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Restaurant Sushi Casablanca - Bamboo,restaurant-sushi-casablanca-bamboo-casablanca-2d69fe905d,RESTAURANT,Casablanca,"Résidence Maadir 2, Av. de Nice, Casablanca 20250, Morocco",33.5982681,-7.6485208,+212 6 66 40 44 03,http://www.bamboo.ma/,https://maps.google.com/?cid=11982870264431022369,4.7,2722,,,[],google_places,ChIJXRdybIHTpw0RIZEAfQS1S6Y,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Le Cuistot Traditionnel,le-cuistot-traditionnel-casablanca-2cd1bcc7d6,RESTAURANT,Casablanca,"N° 3 Rue Abderrahman Sahraoui, Casablanca 20320, Morocco",33.592798,-7.6213753,+212 5 22 27 39 11,https://lecuistot-traditionnel.com/,https://maps.google.com/?cid=13775587634023786906,4.4,1849,2.0,,[],google_places,ChIJs2suXprSpw0RmmlAive3LL8,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Holy Brunch,holy-brunch-casablanca-0445e735d7,RESTAURANT,Casablanca,"Angle rue Theophile Gauthier et, Rue Al Bouhtouri, Casablanca 20012, Morocco",33.5884611,-7.6316774,+212 6 53 81 78 26,https://holybrunch.ma/,https://maps.google.com/?cid=9194359571959367086,4.6,1187,,,[],google_places,ChIJZTywlw3Tpw0RrsXZH1HtmH8,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Sky 28,sky-28-casablanca-c774b4f031,NIGHTCLUB,Casablanca,"Bd Mohammed Zerktouni, Casablanca 21000, Morocco",33.5866876,-7.6321146,+212 5 22 97 80 00,https://www.kenzi-hotels.com/kenzi-tower/restauration,https://maps.google.com/?cid=14245606850401636153,4.1,1961,4.0,,[],google_places,ChIJBfyl25TSpw0ROY8POPSPssU,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Pomo Dolce,pomo-dolce-casablanca-b832bae9e6,RESTAURANT,Casablanca,"61 Boulevard de la Corniche, Casablanca 60000, Morocco",33.6040362,-7.6453648,+212 6 80 48 10 70,https://pomodolce.com/,https://maps.google.com/?cid=15719574903169731476,4.6,850,,,[],google_places,ChIJKfk-hx7Tpw0RlMuTqxYmJ9o,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Bliss Rooftop,bliss-rooftop-casablanca-04a03b8ffc,RESTAURANT,Casablanca,"Angle Boulevard Bhahim Roudani, &, Rue Al Faid Al Masri, Casablanca 20320, Morocco",33.5880111,-7.6275222,+212 6 60 15 75 53,https://blissrooftop.ma/,https://maps.google.com/?cid=1641304218653277141,4.3,908,,,[],google_places,ChIJWRibONDTpw0R1bstqX0VxxY,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Al-Mounia,al-mounia-casablanca-f42be6feff,RESTAURANT,Casablanca,"Avenue, H9RM+7CQ, Rue du Prince Moulay Abdellah, Casablanca 20000, Morocco",33.5907191,-7.616375100000001,+212 5 22 22 26 69,,https://maps.google.com/?cid=1617760577982660768,4.1,1486,,,[],google_places,ChIJ0ZoM_5vSpw0RoIBJpqxwcxY,"['establishment', 'food', 'point_of_interest', 'restaurant']"
La Grande Table Marocaine | Royal Mansour Casablanca,la-grande-table-marocaine-royal-mansour-casablanca-casablanca-299ae078a1,RESTAURANT,Casablanca,"27 Avenue des Forces Armées Royales, Casablanca 20250, Morocco",33.5969402,-7.614334500000001,+212 5 29 90 05 00,https://www.royalmansour.com/casablanca/restauration/la-grande-table-marocaine/,https://maps.google.com/?cid=3169828825268321850,4.4,68,,,[],google_places,ChIJnaVI6VrTpw0ROn7pqIV-_Ss,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Zayna Moroccan taste,zayna-moroccan-taste-casablanca-e4ec42925b,RESTAURANT,Casablanca,"44 Rue Ibnou Khaldoun, Casablanca 20000, Morocco",33.577293,-7.607355399999999,+212 5 22 54 25 96,http://www.restaurantzayna.com/,https://maps.google.com/?cid=2052353759702100958,4.2,1245,2.0,,[],google_places,ChIJi3OkZlnNpw0R3it74N5sexw,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Restaurant Les Fleurs,restaurant-les-fleurs-casablanca-c1a5231fc4,RESTAURANT,Casablanca,"Av. des FAR, Casablanca 20000, Morocco",33.5964999,-7.6144843,+212 5 22 31 27 35,https://restaurantdesfleurs.com/,https://maps.google.com/?cid=14167012646407175427,4.0,2186,,,[],google_places,ChIJKbIoJIPSpw0RA_2QHfFWm8Q,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Bondi Coffee Kitchen,bondi-coffee-kitchen-casablanca-4fe6df40b1,CAFE,Casablanca,"31 Rue Sebou, Casablanca 20600, Morocco",33.5890965,-7.631685999999999,+212 6 51 68 77 07,https://www.bondicoffeekitchen.com/,https://maps.google.com/?cid=3829061531119586521,4.2,966,2.0,,[],google_places,ChIJST90YJPSpw0R2Qx_4SyPIzU,"['cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
% Arabica Casablanca,arabica-casablanca-casablanca-2d8f7997b0,CAFE,Casablanca,"N°144 angle boulevard d'anfa et، Rue La Fontaine, Dar-el-Beida 20250, Morocco",33.590794,-7.637070500000001,,http://arabica.coffee/,https://maps.google.com/?cid=486404244684422671,4.1,1152,2.0,,[],google_places,ChIJt8TFR-zSpw0RDz6oXRUOwAY,"['cafe', 'establishment', 'food', 'point_of_interest', 'store']"
Boca Chica,boca-chica-casablanca-75bf748714,CAFE,Casablanca,"Boulevard de la Corniche, Casablanca, Morocco",33.6089338,-7.6504809,+212 6 81 21 62 62,http://facebook.com/bocachica.cafe/,https://maps.google.com/?cid=16699104153883390208,4.0,2748,3.0,,[],google_places,ChIJU-Y6OVTSpw0RADF4l8Aiv-c,"['cafe', 'establishment', 'food', 'point_of_interest', 'store']"
Bianca Café,bianca-cafe-casablanca-575d7f33e0,CAFE,Casablanca,"Av. Habib Sinaceur, Casablanca, Morocco",33.6015425,-7.6605784,+212 5 22 39 71 61,https://www.villablanca.ma/,https://maps.google.com/?cid=14559804277872885071,3.8,1338,3.0,,[],google_places,ChIJ44muzADTpw0RT33TfdnQDso,"['cafe', 'establishment', 'food', 'point_of_interest']"
Roosevelt Café,roosevelt-cafe-casablanca-ea780d47a5,CAFE,Casablanca,"20052، Dar-el-Beida 20052, Morocco",33.5946701,-7.6678931,,,https://maps.google.com/?cid=13371482167048139081,4.3,521,2.0,,[],google_places,ChIJJwoWsA_Tpw0RSfFfjy8Mkbk,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Le Gatsby,le-gatsby-casablanca-c64db3f239,CAFE,Casablanca,"Angle boulevard Sidi Mohamed Ben Abdellah et, Bd Sour Jdid, Casablanca 20020, Morocco",33.6075822,-7.6298412,+212 7 00 11 01 10,http://legatsbyy.netlify.app/,https://maps.google.com/?cid=7688075755579023412,4.0,4416,2.0,,[],google_places,ChIJEUXbwinTpw0RNKCUoSqIsWo,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Cafe de France,cafe-de-france-casablanca-308697c69e,CAFE,Casablanca,"H9QJ+GPH, Bd Hassan II, Casablanca 20250, Morocco",33.5956649,-7.6175453,+212 5 22 47 28 20,,https://maps.google.com/?cid=10949902918641493840,3.7,1882,2.0,,[],google_places,ChIJsd_dsoTSpw0RUKejfrDe9Zc,"['cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
Le Loft,le-loft-casablanca-4a6f3ec74d,CAFE,Casablanca,"Tour turquoise 3 RDJ Commerce 01 Av des, Bd des Almohades, Casablanca, Morocco",33.6095338,-7.625786499999998,+212 5 22 27 80 74,http://www.leloftmarina.com/,https://maps.google.com/?cid=16622482523374231710,3.8,385,,,[],google_places,ChIJYfzHFtnTpw0RniDcCsnrruY,"['cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
Kiki's Café Zerktouni,kiki-s-cafe-zerktouni-casablanca-ef4f2a40e3,CAFE,Casablanca,"237 Bd Zerktouni (Croisement Bd Zerktouni avec, Bd d'Anfa, Casablanca 20250, Morocco",33.5901784,-7.635507,+212 6 61 36 10 14,,https://maps.google.com/?cid=12074828005909732586,4.5,838,,,[],google_places,ChIJn5ugNQjTpw0R6hwwoBhokqc,"['cafe', 'establishment', 'food', 'point_of_interest']"
Le Vendôme,le-vendome-casablanca-6bf7654511,CAFE,Casablanca,"2 Rue El Jihani, Casablanca 20250, Morocco",33.5877632,-7.6362373,+212 5 22 39 58 84,,https://maps.google.com/?cid=4371541583242431795,4.1,679,,,[],google_places,ChIJkxKbWXfTpw0RM40DlujVqjw,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Green Black • Marina,green-black-marina-casablanca-7236561942,CAFE,Casablanca,"Marina Shopping, Casablanca 20250, Morocco",33.6076546,-7.620699500000001,+212 5 22 29 60 45,http://www.greenblack.ma/,https://maps.google.com/?cid=10579753865599283246,4.7,8187,2.0,,[],google_places,ChIJizml-Q_Tpw0RLnAcOhbW0pI,"['cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
BEX Coffee,bex-coffee-casablanca-52ac9de794,CAFE,Casablanca,"25 Rue Michel Ange, Casablanca 20250, Morocco",33.5906468,-7.6374255,,https://bexcoffee.com/,https://maps.google.com/?cid=12551406972397143061,4.1,402,,,[],google_places,ChIJxa8RTvrTpw0RFcQXJSSOL64,"['cafe', 'establishment', 'food', 'point_of_interest', 'store']"
La boutique du café,la-boutique-du-cafe-casablanca-93646f28ac,CAFE,Casablanca,"8 Rue Salim Cherkaoui, Casablanca 20000, Morocco",33.5815957,-7.623048199999999,+212 6 61 13 88 59,,https://maps.google.com/?cid=17864756929012358927,4.7,65,,,[],google_places,ChIJrzILmmbTpw0RD996gMZd7Pc,"['cafe', 'establishment', 'food', 'point_of_interest']"
Le Belvédère café & restaurant,le-belvedere-cafe-restaurant-casablanca-e9391246f0,CAFE,Casablanca,"Rue de Pierrefonds، Dar-el-Beida 20250, Morocco",33.5903067,-7.5941484,+212 5 22 24 70 90,,https://maps.google.com/?cid=12796489075789232629,4.3,272,,,[],google_places,ChIJi9QHLAjNpw0R9XmVBgRDlrE,"['cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
Les Frères Gourmets,les-freres-gourmets-casablanca-ec6d5a5760,CAFE,Casablanca,"ex. Jeanne d'Arc, 9 Rue Aïn Harrouda, Casablanca 20250, Morocco",33.590227,-7.640746500000001,+212 5 22 94 60 00,https://www.instagram.com/freresgourmets.officiel/,https://maps.google.com/?cid=2826282501546334327,4.2,390,2.0,,[],google_places,ChIJoeg75u7Spw0Rd1iS-_X4OCc,"['establishment', 'food', 'point_of_interest', 'restaurant']"
One love coffee,one-love-coffee-casablanca-b378724740,CAFE,Casablanca,"2, Bd Du 9 Avril -Ex Cl. Perrault Ang. Mohamed Abdou, Casablanca 20100, Morocco",33.5825398,-7.628078400000001,+212 5 22 23 16 16,,https://maps.google.com/?cid=1766816977357017305,4.0,1020,2.0,,[],google_places,ChIJxyjNDL7Spw0R2ZB-Dq7-hBg,"['cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
Rooftop Nomads,rooftop-nomads-casablanca-aee2df8def,CAFE,Casablanca,"Rue Al Madani, Casablanca, Morocco",33.581396,-7.6332323,+212 6 17 17 21 13,https://www.nomadscasablanca.com/,https://maps.google.com/?cid=4671770934554339777,3.3,640,,,[],google_places,ChIJO5LW-FzTpw0RwSkbsul21UA,"['cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
Monty's Café & Restaurant,monty-s-cafe-restaurant-casablanca-2db1e38fa6,CAFE,Casablanca,"Ongle Rue Kamal, Mohamed et Rue Chaouia, Casablanca 20000, Morocco",33.596078,-7.612659099999998,+212 5 20 06 39 14,https://www.montys.ma/,https://maps.google.com/?cid=18142364819376994449,4.5,132,,,[],google_places,ChIJE5z2AAnTpw0RkXiCTK6gxvs,"['cafe', 'establishment', 'food', 'point_of_interest']"
Le Duo Café Restaurant,le-duo-cafe-restaurant-casablanca-4fb332682f,CAFE,Casablanca,"Casablanca 20250, Morocco",33.5831155,-7.6425564,+212 5 20 57 44 77,,https://maps.google.com/?cid=2931425144411411485,4.2,1375,2.0,,[],google_places,ChIJQf_jIejSpw0RHVRKMqODrig,"['cafe', 'establishment', 'food', 'point_of_interest']"
O’BEN COFFEE SHOP Casablanca,oben-coffee-shop-casablanca-casablanca-23c0145e40,CAFE,Casablanca,"8 Rue Ahmed El Mokri, Casablanca 20100, Morocco",33.5907119,-7.638274399999998,+212 6 61 32 54 30,https://www.instagram.com/oben.coffeeshop/,https://maps.google.com/?cid=10658366977627944954,4.4,170,,,[],google_places,ChIJt2E-FIvTpw0R-ndEs0sg6pM,"['cafe', 'establishment', 'food', 'point_of_interest', 'store']"
Cafe Imperial,cafe-imperial-casablanca-d5a7c35cb3,CAFE,Casablanca,"H9HV+4HF, Casablanca 20250, Morocco",33.57781,-7.606062999999999,+212 5 22 54 15 26,,https://maps.google.com/?cid=2667906169179959007,4.3,739,,,[],google_places,ChIJCTWWYVnNpw0R324LlIZOBiU,"['cafe', 'establishment', 'food', 'point_of_interest']"
Dupond Chocolate Coffee,dupond-chocolate-coffee-casablanca-1ca2996ea5,CAFE,Casablanca,"Bd Ghandi, Casablanca 20250, Morocco",33.5792515,-7.6554707,+212 8 08 58 02 21,,https://maps.google.com/?cid=4550909094085021514,3.8,838,,,[],google_places,ChIJGS1EeZPTpw0RSk8IlrUTKD8,"['establishment', 'food', 'point_of_interest', 'store']"
LA FABBRICA Café Restaurant & Pâtisserie,la-fabbrica-cafe-restaurant-patisserie-casablanca-a2f835e6a4,CAFE,Casablanca,"2 Rue d'Aix, Casablanca 20370, Morocco",33.5616363,-7.628830199999999,+212 5 20 58 50 50,,https://maps.google.com/?cid=955694948447163324,4.1,232,2.0,,[],google_places,ChIJRX8mk-fTpw0RvBPU-31PQw0,"['bakery', 'cafe', 'establishment', 'food', 'point_of_interest', 'restaurant', 'store']"
The Irish Pub Casablanca,the-irish-pub-casablanca-casablanca-7158308bef,NIGHTCLUB,Casablanca,"10 Av. Hassan Souktani, Casablanca 20000, Morocco",33.5925892,-7.629978699999999,+212 5 22 20 02 10,https://www.facebook.com/TheIrishPubCasa,https://maps.google.com/?cid=4741123907755941241,4.0,1121,2.0,,[],google_places,ChIJg7R_QJLSpw0ReZ3nFRPby0E,"['bar', 'establishment', 'point_of_interest']"
Thejamesrooftop,thejamesrooftop-casablanca-97b7fa2f33,NIGHTCLUB,Casablanca,"Jm suites 161 Angle Bd Rachidi, & Moulay Hassan 1er- Quartier, Bd Moulay Youssef, Casablanca 20070, Morocco",33.5922842,-7.6256282,+212 7 66 64 77 90,http://thejamesrooftop.com/,https://maps.google.com/?cid=12694245321787223145,4.4,1130,,,[],google_places,ChIJqWssrfzTpw0RaazK-NwEK7A,"['bar', 'establishment', 'food', 'night_club', 'point_of_interest', 'restaurant']"
Bar Atomic,bar-atomic-casablanca-24891e9a53,BAR,Casablanca,"91 Av. Mers Sultan, Casablanca 20100, Morocco",33.5868993,-7.616999499999999,+212 5 22 26 78 90,,https://maps.google.com/?cid=5369232602533151500,4.1,378,2.0,,[],google_places,ChIJ57FvT5_Spw0RDENvxppYg0o,"['bar', 'establishment', 'point_of_interest']"
L'OCTAVE,l-octave-casablanca-432d154c23,BAR,Casablanca,"6 Rue Michel Ange, Casablanca 20250, Morocco",33.5920092,-7.638534999999999,+212 6 08 01 01 59,https://www.loctavecasa.com/,https://maps.google.com/?cid=12579871099924371397,4.9,170,,,[],google_places,ChIJJQBMFjnTpw0RxdcxRx2ulK4,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
Backstage Casablanca,backstage-casablanca-casablanca-fdaa795102,NIGHTCLUB,Casablanca,"138 Bd Mohammed Zerktouni, Casablanca 20250, Morocco",33.5911892,-7.6363315,+212 6 60 52 05 28,https://www.facebook.com/BackstageCasablanca/,https://maps.google.com/?cid=15287209731898758119,3.6,892,2.0,,[],google_places,ChIJR1CFitrTpw0R51O4jEEUJ9Q,"['bar', 'establishment', 'night_club', 'point_of_interest']"
Vertigo,vertigo-casablanca-10bbeec9a3,BAR,Casablanca,"Rue Chaouia, Casablanca 20250, Morocco",33.5923812,-7.6144265,+212 6 64 09 45 25,https://www.facebook.com/le-vertigo-578918812304478/,https://maps.google.com/?cid=1219862100161497181,3.9,246,,,[],google_places,ChIJX0kSTpzSpw0RXYgW8x3S7RA,"['bar', 'establishment', 'night_club', 'point_of_interest']"
Le Trica,le-trica-casablanca-3dab9afc92,BAR,Casablanca,"Rue Al Moutanabi, Casablanca 20250, Morocco",33.5926559,-7.6289862,+212 5 22 22 07 06,,https://maps.google.com/?cid=3466766172653235330,4.0,552,2.0,,[],google_places,ChIJE_DsN5LSpw0RgixWYHdtHDA,"['bar', 'establishment', 'point_of_interest']"
La Bodega de Casablanca,la-bodega-de-casablanca-casablanca-1252358bda,BAR,Casablanca,"129 Rue Allal Ben Abdellah, Casablanca 20250, Morocco",33.595358,-7.6116853,+212 5 22 54 18 42,,https://maps.google.com/?cid=10020118446286268719,4.0,1736,2.0,,[],google_places,ChIJ82dJLJ3Spw0RL2k7VqOcDos,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Amstrong Official,amstrong-official-casablanca-7491fdb579,NIGHTCLUB,Casablanca,"Rue Mohyeddine Al Arabi, Casablanca, Morocco",33.5954104,-7.677267199999999,+212 6 13 08 60 45,https://www.instagram.com/amstrong_casablanca,https://maps.google.com/?cid=14889537097530295649,3.7,567,3.0,,[],google_places,ChIJ9yXyOnPTpw0RYUVLIBpDos4,"['bar', 'establishment', 'night_club', 'point_of_interest']"
NIXX/XXIN,nixx-xxin-casablanca-469cd15318,BAR,Casablanca,"1 Bd Mohamed Abdou, Casablanca 20000, Morocco",33.5848478,-7.625858500000001,+212 6 61 90 68 70,,https://maps.google.com/?cid=1474088140333579181,3.5,59,,,[],google_places,ChIJIy3tjO3Tpw0RrfsyhFoDdRQ,"['bar', 'establishment', 'point_of_interest']"
Le Jefferson,le-jefferson-casablanca-8df18c0b57,NIGHTCLUB,Casablanca,"Bd Mohamed Abdou, Casablanca 20000, Morocco",33.5850144,-7.625732099999999,+212 6 62 36 79 79,https://www.facebook.com/lejeffersoncasablanca/?fref=ts,https://maps.google.com/?cid=7387858064901986438,4.0,683,2.0,,[],google_places,ChIJ1XJWOJbSpw0Rhth8ecTxhmY,"['bar', 'establishment', 'food', 'night_club', 'point_of_interest', 'restaurant']"
El Patron,el-patron-casablanca-35f59017bf,BAR,Casablanca,"400 Bd Mohammed Zerktouni, Casablanca 20250, Morocco",33.59961630000001,-7.638579200000001,+212 6 67 78 50 58,,https://maps.google.com/?cid=817220088903715291,4.7,149,,,[],google_places,ChIJl6OS7zvTpw0R20lrTldZVws,"['bar', 'establishment', 'food', 'night_club', 'point_of_interest', 'restaurant']"
Le Band Casablanca,le-band-casablanca-casablanca-f0f83205c8,BAR,Casablanca,"10 Rue Assilm، الدار البيضاء 20000, Morocco",33.5898015,-7.6360833,+212 6 60 00 33 10,,https://maps.google.com/?cid=17546928169165979967,4.1,268,2.0,,[],google_places,ChIJ0SSeNmHTpw0RPwFvxjM2g_M,"['bar', 'establishment', 'food', 'night_club', 'point_of_interest', 'restaurant']"
RS lounge,rs-lounge-casablanca-6382b43926,BAR,Casablanca,"22 Rue De La Mer Rouge, Casablanca, Morocco",33.5934581,-7.6760899,+212 6 17 86 81 32,,https://maps.google.com/?cid=9181553827103352015,4.2,106,,,[],google_places,ChIJH6MWbgDTpw0Rz6SfTo9ua38,"['bar', 'establishment', 'night_club', 'point_of_interest']"
Skybar,skybar-casablanca-71583599b6,NIGHTCLUB,Casablanca,"Boulevard de la Corniche, Casablanca 20000, Morocco",33.6015086,-7.6604664,+212 6 63 47 52 47,http://www.villablanca.ma/fr/enseigne/skybar,https://maps.google.com/?cid=1233107502606441226,3.3,371,,,[],google_places,ChIJ0bj51AbTpw0RCtu5hr3gHBE,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Kick Off,kick-off-casablanca-358428772c,BAR,Casablanca,"14 Rue Mohamed Sediki, Casablanca 20250, Morocco",33.5929928,-7.633450799999999,+212 6 55 34 55 31,http://www.kick-off.ma/,https://maps.google.com/?cid=156883506954095446,3.9,303,,,[],google_places,ChIJu7SLMFvTpw0RVssd57dcLQI,"['bar', 'establishment', 'point_of_interest']"
Diamond Lounge,diamond-lounge-casablanca-75f01f9e3e,BAR,Casablanca,"10 Rue De La Mer Rouge, Casablanca 20052, Morocco",33.5929348,-7.6768479,+212 6 56 52 81 57,https://diamondlounge.online/,https://maps.google.com/?cid=2814862610930301000,4.1,246,1.0,,[],google_places,ChIJdbctWoDTpw0RSHgHgKFmECc,"['bar', 'cafe', 'establishment', 'food', 'night_club', 'point_of_interest', 'restaurant']"
HUKKAH LOUNGE,hukkah-lounge-casablanca-c107bf8bed,BAR,Casablanca,"283 Bd Mohammed Zerktouni, Casablanca 20000, Morocco",33.5925209,-7.637270300000001,+212 6 38 30 29 11,,https://maps.google.com/?cid=14974832589320648210,4.8,107,,,[],google_places,ChIJFzkhZwDTpw0REnZmYeZK0c8,"['bar', 'cafe', 'establishment', 'food', 'point_of_interest', 'store']"
